program_type,taxon,common_name,genus_name,species_name,scientific_name,subspecies
SSP,Bird,"Trumpeter, Grey-Winged",Psophia,crepitans,Psophia crepitans,
SSP,Bird,"Turaco, Great Blue",Corythaeola,cristata,Corythaeola cristata,
SSP,Bird,"Turaco, Lady Ross'",Musophaga,rossae,Musophaga rossae,
SSP,Bird,"Turaco, Red-Crested",Tauraco,erythrolophus,Tauraco erythrolophus,
SSP,Bird,"Turaco, Violaceous",Musophaga,violacea,Musophaga violacea,
SSP,Bird,"Turaco, White-Cheeked",Tauraco,leucotis,Tauraco leucotis,
SSP,Reptile,"Turtle, Black-Breasted Leaf",Geoemyda,spengleri,Geoemyda spengleri,
SSP,Reptile,"Turtle, Blanding's",Emydoidea,blandingii,Emydoidea blandingii,
SSP,Reptile,"Turtle, Coahulian Box",Terrapene,coahuila,Terrapene coahulia,
SSP,Reptile,"Turtle, Indochinese Box",Cuora,galbinifrons,Cuora galbinifrons,
SSP,Reptile,"Turtle, Malaysian Giant",Orlitia,borneensis,Orlitia borneensis,
SSP,Reptile,"Turtle, McCord's Box",Cuora,mccordi,Cuora mccordi,
SSP,Reptile,"Turtle, Pan's Box",Cuora,pani,Cuora pani,
SSP,Reptile,"Turtle, Rote Island Snake-Necked",Chelodina,mccordi,Chelodina mccordi,
SSP,Reptile,"Turtle, Spiny",Heosemys,spinosa,Heosemys spinosa,
SSP,Reptile,"Turtle, Spotted",Clemmys,guttata,Clemmys guttata,
SSP,Bird,"Vulture, Cinereous",Aegypius,monachus,Aegypius monachus,
SSP,Bird,"Vulture, King",Sarcoramphus,papa,Sarcoramphus papa,
SSP,Mammal,"Wallaby, Bennett's (Red-necked)",Notamacropus,rufogriseus,Notamacropus rufogriseus,
SSP,Mammal,"Wallaby, Tammar",Notamacropus,eugenii,Notamacropus eugenii,
SSP,Mammal,"Wallaroo, Common",Osphranter,robustus,Osphranter robustus,
SSP,Mammal,"Warthog, Common",Phacochoerus,africanus,Phacochoerus africanus,
SSP,Bird,"Weaver, White-Headded Buffalo",Dinemellia,dinemelli,Dinemellia dinemelli,
SSP,Mammal,"Wolf, Maned",Chrysocyon,brachyurus,Chrysocyon brachyurus,
SSP,Bird,"Woodhoopoe, Green",Phoeniculus,purpureus,Phoeniculus purpureus,
SSP,Mammal,"Zebra, Grevy's",Equus,grevyi,Equus grevyi,
SSP,Mammal,"Zebra, Hartmann's Mountain",Equus ,zebra,Equus zebra,hartmannae
SSP,Mammal,"Zebra, Plains",Equus,quagga,Equus quagga,
