taxon,common_name,genus_name,species_name,scientific_name,assessment,population_trend,assessment_scope
Mammal,"Hippopotamus, River",Hippopotamus,amphibius,Hippopotamus amphibius,VU,Stable,Global
Mammal,"Hog, Red River",Potamochoerus,porcus,Potamochoerus porcus,LC,Decreasing,Global
Bird,"Honeyeater, Blue-Faced",Entomyzon,cyanotis,Entomyzon cyanotis,LC,Stable,Global
Bird,"Hornbill, Abyssinian Ground",Bucorvus,abyssinicus,Bucorvus abyssinicus,VU,Decreasing,Global
Bird,"Hornbill, Red-Billed",Tockus,erythrorhynchus,Tockus erythrorhynchus,LC,Stable,Global
Bird,"Hornbill, Rhinoceros",Buceros,rhinoceros,Buceros rhinoceros,VU,Decreasing,Global
Bird,"Hornbill, Southern Ground",Bucorvus,leadbeateri,Bucorvus leadbeateri,VU,Decreasing,Global
Bird,"Hornbill, Trumpeter",Bycanistes,bucinator,Bycanistes bucinator,LC,Decreasing,Global
Bird,"Hornbill, Wrinkled",Rhabdotorrhinus,corrugatus,Rhabdotorrhinus corrugatus,EN,Decreasing,Global
Mammal,"Horse, Asian Wild",Equus,ferus,Equus ferus,EN,Increasing,Global
Bird,"Hwamei, Chinese",Garrulax,canorus,Garrulax canorus,LC,Unknown,Global
Mammal,"Hyena, Spotted",Crocuta,crocuta,Crocuta crocuta,LC,Decreasing,Global
Mammal,"Hyrax, Rock",Procavia,capensis,Procavia capensis,LC,Stable,Global
Bird,"Ibis, African Sacred",Threskiornis,aethiopicus,Threskiornis aethiopicus,LC,Stable,Global
Bird,"Ibis, Hadada",Bostrychia,hagedash,Bostrychia hagedash,LC,Increasing,Global
Bird,"Ibis, Scarlet",Eudocimus,ruber,Eudocimus ruber,LC,Decreasing,Global
Bird,"Ibis, Waldrapp",Geronticus,eremita,Geronticus eremita,EN,Stable,Global
Reptile,"Iguana, Fiji Banded",Brachylophus,bulabula,Brachylophus bulabula,EN,Decreasing,Global
Reptile,"Iguana, Grand Cayman Blue",Cyclura,lewisi,Cyclura lewisi,EN,Increasing,Global
Reptile,"Iguana, Jamaican",Cyclura,collei,Cyclura collei,CR,Increasing,Global
Mammal,Jaguar,Panthera,onca,Panthera onca,NT,Decreasing,Global
Bird,"Jay, Plush Crested",Cyanocorax,chrysops,Cyanocorax chrysops,LC,Decreasing,Global
Mammal,"Kangaroo, Red",Osphranter,rufus,Osphranter rufus,LC,Stable,Global
Mammal,"Kangaroo, Western Gray",Macropus,fuliginosus,Macropus fuliginosus,LC,Increasing,Global
Bird,"Kookaburra, Laughing",Dacelo,novaeguineae,Dacelo novaeguineae,LC,Decreasing,Global
Mammal,"Kudu, Lesser",Tragelaphus,imberbis,Tragelaphus imberbis,NT,Decreasing,Global
Mammal,"Langur, Francois'",Trachypithecus,francoisi,Trachypithecus francoisi,EN,Decreasing,Global
Bird,"Lapwing, Masked",Vanellus,miles,Vanellus miles,LC,Increasing,Global
Bird,"Lapwing, Spur-Winged",Vanellus,spinosus,Vanellus spinosus,LC,Increasing,Global
Bird,"Laughingthrush, White-Crested",Garrulax,leucolophus,Garrulax leucolophus,LC,Decreasing,Global
Bird,"Leiothrix, Red-Billed",Leiothrix,lutea,Leiothrix lutea,LC,Decreasing,Global
Mammal,"Lemur, Black and White Ruffed",Varecia,variegata,Varecia variegata,CR,Decreasing,Global
Mammal,"Lemur, Collared",Eulemur,collaris,Eulemur collaris,EN,Decreasing,Global
Mammal,"Lemur, Mongoose",Eulemur,mongoz,Eulemur mongoz,CR,Decreasing,Global
Mammal,"Lemur, Red Ruffed",Varecia,rubra,Varecia rubra,CR,Decreasing,Global
Mammal,"Lemur, Ring-Tailed",Lemur,catta,Lemur catta,EN,Decreasing,Global
Mammal,"Leopard, Clouded",Neofelis,nebulosa,Neofelis nebulosa,VU,Decreasing,Global
Mammal,"Leopard, Snow",Panthera,uncia,Panthera uncia,VU,Decreasing,Global
Bird,"Liocichla, Scarlet-faced",Liocichla,ripponi,Liocichla ripponi,LC,Decreasing,Global
Mammal,Lion,Panthera,leo,Panthera leo,CR,Decreasing,Global
Reptile,"Lizard, Beaded",Heloderma,horridum,Heloderma horridum,LC,Decreasing,Global
Reptile,"Lizard, Caiman",Dracaena,guianensis,Dracaena guianensis,LC,Unknown,Global
Reptile,"Lizard, Crocodile",Shinisaurus,crocodilurus,Shinisaurus crocodilurus,EN,Decreasing,Global
Mammal,"Loris, Pygmy",Nycticebus,pygmaeus,Nycticebus pygmaeus,EN,Decreasing,Global
Mammal,"Lynx, Canada",Lynx,canadensis,Lynx canadensis,LC,Stable,Global
Mammal,"Macaque, Japanese",Macaca,fuscata,Macaca fuscata,LC,Stable,Global
Bird,"Macaw, Blue-Throated",Ara,glaucogularis,Ara glaucogularis,CR,Stable,Global
Bird,"Macaw, Hyacinth",Anodorhynchus,hyacinthinus,Anodorhynchus hyacinthinus,VU,Decreasing,Global
Bird,"Macaw, Red-Fronted",Ara,rubrogenys,Ara rubrogenys,CR,Decreasing,Global
Bird,"Magpie, Azure-Winged",Cyanopica,cyanus,Cyanopica cyanus,LC,Increasing,Global
Mammal,Mandrill,Mandrillus,sphinx,Mandrillus sphinx,VU,Decreasing,Global
Mammal,"Mara, Patagonian",Dolichotis,patagonum,Dolichotis patagonum,NT,Decreasing,Global
Mammal,"Marmoset, Geoffroy's",Callithrix,geoffroyi,Callithrix geoffroyi,LC,Decreasing,Global
Mammal,Meerkat,Suricata,suricatta,Suricata suricatta,LC,Stable,Global
Bird,"Merganser, Scaly-Sided",Mergus,squamatus,Mergus squamatus,EN,Decreasing,Global
Reptile,"Monitor, Black Tree",Varanus,beccarii,Varanus beccarii,DD,Decreasing,Global
Mammal,"Monkey, Bolivian Gray Titi",Plecturocebus,donacophilus,Plecturocebus donacophilus,LC,Unknown,Global
Mammal,"Monkey, Common Squirrel",Saimiri,sciureus,Saimiri sciureus,LC,Decreasing,Global
Mammal,"Monkey, DeBrazza's",Cercopithecus,neglectus,Cercopithecus neglectus,LC,Unknown,Global
Mammal,"Monkey, Mexican Spider",Ateles,geoffroyi,Ateles geoffroyi,EN,Decreasing,Global
Mammal,"Monkey, Robust Black Spider",Ateles,fusciceps,Ateles fusciceps,EN,Decreasing,Global
Mammal,"Monkey, Southern Black Howler",Alouatta,caraya,Alouatta caraya,NT,Decreasing,Global
Bird,"Motmot, Blue-Crowned",Momotus,momota,Momotus momota,LC,Decreasing,Global
Mammal,"Muntjac, Reeves'",Muntiacus,reevesi,Muntiacus reevesi,LC,Decreasing,Global
Bird,"Myna, Bali",Leucopsar,rothschildi,Leucopsar rothschildi,CR,Decreasing,Global
